name,pan,gstin
MANASVI ADVISORY PRIVATE LIMITED,AAPCM6229D,24AAPCM6229D1ZG
INTERSTELLAR CONTRACT & ENGINEERING CONSULTANCY PRIVATE LIMITED,AAFCI0548D,01AAFCI0548D2Z7
TOPSOIL FRUITS INDIA PRIVATE LIMITED,AAKCT4227H,27AAKCT4227H1Z6
SAFEMECH TECHNICAL PRIVATE LIMITED,ABBCS8311D,23ABBCS8311D1ZT
SALAHAKAR FINSERV PRIVATE LIMITED,ABFCS5960C,06ABFCS5960C1ZE
LISSEN.IO PRIVATE LIMITED,AAFCL4603A,27AAFCL4603A1Z1
NKSS INFRA PROJECTS LLP,AATFN4886A,09AATFN4886A1ZS
SHERLOCK STUDIO PRIVATE LIMITED,ABMCS1920P,No GSTIN found
RENEONIX PRIVATE LIMITED,AANCR2204D,33AANCR2204D1ZV
UNIVERSTECH CORPORATE SOLUTIONS PRIVATE LIMITED,AADCU3757E,29AADCU3757E1Z5
SHRIMAN TECHNOLOGIES PRIVATE LIMITED,,No GSTIN found
TSAA WORLDWIDE PRIVATE LIMITED,AAKCT5957E,No GSTIN found
VURAY CONSULTING PRIVATE LIMITED,AAJCV8037E,09AAJCV8037E1Z1
GOD'S ARMY RESOURCE MANAGEMENT PRIVATE LIMITED,AAKCG8607Q,20AAKCG8607Q1Z6
K&amp;S Digprotect Services Private Limited,,No GSTIN found
ELECTROMECH POWER (I) PRIVATE LIMITED,AAHCE4366K,06AAHCE4366K1ZD
LINKUPH BHARATH PRIVATE LIMITED,AAFCL6097G,36AAFCL6097G1Z6
SKYVIZ LABS PRIVATE LIMITED,ABMCS1556P,36ABMCS1556P1ZL
ZOUDATA TECHNOLOGIES PRIVATE LIMITED,AACCZ2267R,30AACCZ2267R1ZW
INNOVEER VENTURES PRIVATE LIMITED,,No GSTIN found
AROGYA JEEVAN SOCIAL HEALTHCARE FOUNDATION,AAWCA3554A,No GSTIN found
AMRUTKALASH SERVICES PRIVATE LIMITED,AAZCA7576M,27AAZCA7576M1ZH
VOODS LIFESTYLE PRIVATE LIMITED,AAJCV3974C,09AAJCV3974C2Z0
LAXMI DIGITAL PRINT,AAJFL3997Q,24AAJFL3997Q1ZD
AQUAOVERSEAS SOLUTIONS LLP,ACDFA5832B,24ACDFA5832B1ZZ
TALENTAIRE ROOJGAR SERVICES PRIVATE LIMITED,AAKCT2995G,29AAKCT2995G1ZP
SAHIR INDUSTRIES PRIVATE LIMITED,,No GSTIN found
TECHNOGREP SOLUTIONS LLP,AATFT6111C,29AATFT6111C1Z2
KLIQ INTERNATIONAL LLP,AASFK5648N,27AASFK5648N1ZD
AGIES MOMENTUM SYNERGIES INDIA PRIVATE LIMITED,AAZCA2834L,06AAZCA2834L1Z4
PURAM SANGAM LLP,ABCFP7880N,24ABCFP7880N1ZM
KIMANA MOTORS PRIVATE LIMITED,AAKCK6327M,24AAKCK6327M1CG
ShubhSangam,ABMCS2789N,No GSTIN found
Deep Vein India Private Limited,AAKCD2655F,No GSTIN found
TANMAY LEGAL EXPERTS PRIVATE LIMITED,AAKCT4800G,No GSTIN found
EMPANETICS RESEARCH LABS AND TECHNOLOGIES PRIVATE LIMITED,AAHCE9023D,29AAHCE9023D1ZO
J9 NEXUS REALTY LLP,AATFJ9948H,No GSTIN found
Quantumweave Intelligence Private Limited,,No GSTIN found
INCUR SOLUTIONS PRIVATE LIMITED,AAHCI2881F,09AAHCI2881F1ZE
Enrise Lifescience Pvt. Ltd.,AAHCE9520F,27AAHCE9520F1ZM
Feedsco Global Private Limited,AAFCF7565D,23AAFCF7565D1ZQ
OPTIMAL SHIPPING INDIA PRIVATE LIMITED,,No GSTIN found
FOVEAL SECURITY SOLUTIONS INDIA LLP,AAFFF2248E,33AAFFF2248E1ZV
Erth Electric Private Limited,,No GSTIN found
BUZZZEST FASHION PRIVATE LIMITED,AAMCB1498G,29AAMCB1498G1Z9
BTR Technologies,,No GSTIN found
ONLY4VALUES ENTERPRISE PRIVATE LIMITED,AAECO1515D,07AAECO1515D1ZY
TECHSUKRAS SOFTWARE PRIVATE LIMITED,AAKCT3679D,33AAKCT3679D1Z7
SHUBHANKARI ENGINEERING SOLUTIONS LLP,ADSFS7030B,19ADSFS7030B1ZX
AMPHARACT (I) PRIVATE LIMITED,AAZCA7427P,No GSTIN found
SABIDILLO PRIVATE LIMITED,ABFCS0821G,23ABFCS0821G1ZS
BINARY RESOLUTION IT SOLUTIONS PRIVATE LIMITED,AAMCB1175G,24AAMCB1175G1ZT
GLORISSA INDIA,AAZFG4834B,21AAZFG4834B1ZH
PERFECT SQUARED LUXE DESIGNS PRIVATE LIMITED,AAOCP3536B,27AAOCP3536B1ZG
MIND2MACHINE TECH INDIA PRIVATE LIMITED,AAPCM8956R,No GSTIN found
NGURIE ORGANIC PRIVATE LIMITED,AAJCN1262D,No GSTIN found
APEX ENTERPRISE,ACCFA7511N,24ACCFA7511N1ZF
MONSOON ENTERPRISE,ABLFM6304M,18ABLFM6304M1ZU
FREE STREAM TECHNOLOGIES PRIVATE LIMITED,AAFCF7325K,07AAFCF7325K1ZF
WHITESHIELD HEALTH PRIVATE LIMITED,AADCW6427H,No GSTIN found
AVARAH LIFESTYLES LLP,ACDFA8032H,29ACDFA8032H1ZF
MEKANSHI INDIA PRIVATE LIMITED,AAQCM0676H,06AAQCM0676H1Z6
AVKALAN LABS PRIVATE LIMITED,AAYCA2308Q,No GSTIN found
S R D ENTERPRISES,AFEFS4160A,09AFEFS4160A1Z9
SHIKARA INFRASTRUCTURES PRIVATE LIMITED,ABDCS3364E,27ABDCS3364E1ZE
KANCHANI FARMER PRODUCER COMPANY LIMITED,AAGCK7826B,27AAGCK7826B1ZK
XPLOR RIDES PRIVATE LIMITED,,No GSTIN found
XYZ CREATIVE PRIVATE LIMITED,AAACX4767C,09AAACX4767C1Z7
FEROX INDUSTRIES PRIVATE LIMITED,AAFCF5571K,06AAFCF5571K1ZD
HELM HOLIDAYS LLP,AAQFH4207C,No GSTIN found
NURA ANALYTIX LLP,AAUFN4978Q,33AAUFN4978Q1Z2
KANCHANA BIO CNG PRIVATE LIMITED,AAKCK6491L,37AAKCK6491L1ZR
DREAM CHILD LIFE SCIENCE LLP,AATFD3896L,24AATFD3896L1ZN
ONEQID TECHNOLOGIES PRIVATE LIMITED,AAECO1575F,07AAECO1575F1ZI
INDIKA CONTAINER LINES PRIVATE LIMITED,AAHCI4381G,27AAHCI4381G1ZF
SHIVANSH EXPLORATION,AFDFS5311N,24AFDFS5311N1ZW
VR CRYSTAL HEARING SOLUTIONS PRIVATE LIMITED,AAJCV8521F,27AAJCV8521F1Z4
SUNFIROZ ORGANISATION PRIVATE LIMITED,ABLCS3636B,21ABLCS3636B1ZP
NITESH ASSOCIATES PRIVATE LIMITED,AAICN3643D,No GSTIN found
TINYCHEQUE VENTURES PRIVATE LIMITED,AAKCT2771J,06AAKCT2771J1Z0
PROLIFIC INDIA NETWORK PRIVATE LIMITED,AANCP8254H,19AANCP8254H1ZT
ABHASA WELLNESS RETREAT PRIVATE LIMITED,AARCA8239P,33AARCA8239P1ZW
FINHEDGE CONSULTANCY SERVICES PRIVATE LIMITED,AAFCF7204D,24AAFCF7204D1Z4
DHANSHREE KASTURI INFRA TECH LLP,AAUFD3908Q,24AAUFD3908Q1ZR
SYG INFRA PRIVATE LIMITED,ABCCS4000N,36ABCCS4000N1ZE
TRANSIT TERMINAL AITECH PRIVATE LIMITED,AAKCT5337N,21AAKCT5337N1Z0
CANBRO PHARMACEUTICALS PRIVATE LIMITED,AAICC2193F,06AAICC2193F1ZS
VIBHU PROJECTS PRIVATE LIMITED,AAJCV6135D,37AAJCV6135D1Z9
VRISHANK RESEARCH PRIVATE LIMITED,AAHCV2256P,24AAHCV2256P1ZV
RURAL SKILL DEVELOPMENT AND ENTREPRENEURSHIP PRIVATE LIMITED,AALCR9142E,No GSTIN found
EASYCLIMB PRIVATE LIMITED,AAHCE7336D,27AAHCE7336D1ZO
LIGHTSPEED ELECTRIC LLP,AAKFL9684K,03AAKFL9684K1ZO
GFR LOGISTICS INDIA PRIVATE LIMITED,AAKCG3385M,27AAKCG3385M1ZZ
BRIGHT ANGEL EMPLOYMENT AGENCY PRIVATE LIMITED,AALCB3795R,33AALCB3795R1ZU
VILLAIN BICYCLE PRIVATE LIMITED,AAJCV7020M,No GSTIN found
MUSKAAN ENGINEERING AND TECHNOLOGY PRIVATE LIMITED,AARCM1798B,08AARCM1798B1Z4
SCDND Estates,,No GSTIN found
Sovrin,,No GSTIN found
EXHILARATED BEAMING BOOM HEALTH CARE PRIVATE LIMITED,AAHCE4885D,21AAHCE4885D1ZS
LEARNINGSHALA EDUCATION PRIVATE LIMITED,AAECL5769J,No GSTIN found
AIKAN PHARMA (OPC) PRIVATE LIMITED,AAXCA9442Q,18AAXCA9442Q1ZH
AMOLICONCEPTS PRIVATE LIMITED,AAZCA3074G,09AAZCA3074G1Z7
CYNNA HOLIDAYS RETREAT PRIVATE LIMITED,AALCC1105C,09AALCC1105C1Z7
SONIC AVIATION & OCEANICS GLOBAL PRIVATELIMITED,ABJCS7813A,No GSTIN found
MICHY METALS AND ALLOYS PRIVATE LIMITED,AAPCM3738B,33AAPCM3738B1ZL
AAKAR POLYPLAST PRIVATE LIMITED,AAUCA0737F,22AAUCA0737F1ZU
INTELIDATA TECHEDGE PRIVATE LIMITED,AAHCI2086G,27AAHCI2086G1ZH
SAGACITY WORKS PRIVATE LIMITED,ABMCS4279H,24ABMCS4279H1ZX
POURUSHA AEROSPACE TECHNOLOGIES PRIVATE LIMITED,AAOCP3836A,No GSTIN found
MAHAVIR E-VEHICLES PRIVATE LIMITED,AARCM4590R,07AARCM4590R1ZD
VIOLETEARNX PRIVATE LIMITED,AAJCV8419N,36AAJCV8419N1ZJ
ArunaSocial Ventures LLP,ABYFA5101H,No GSTIN found
CURIOSIFY EDUTECH PRIVATE LIMITED,,No GSTIN found
MITHILAWASI PRIVATE LIMITED,AAQCM9115R,10AAQCM9115R1ZW
CONNECTGEEK SOLUTIONS LLP,,No GSTIN found
SANSKRIT AYURVEDA PRIVATE LIMITED,ABMCS3029F,09ABMCS3029F1Z7
XL CROP SCIENCE PRIVATE LIMITED,AAACX3994K,27AAACX3994K1ZP
BRINEFLOW SALT & CHEMICALS PRIVATE LIMITED,AALCB6346C,24AALCB6346C1ZV
GYMO WELLNESS SOLUTIONS LLP,,No GSTIN found
CINESPHERE PRIVATE LIMITED,,No GSTIN found
MITAHARA VEDIC FOODS PRIVATE LIMITED,AARCM1938K,09AARCM1938K1ZT
ESYNZE PRIVATE LIMITED,AAHCE9841K,32AAHCE9841K1ZC
EPSILON CLUBS AND RESORTS PRIVATE LIMITED,AADCE8324R,24AADCE8324R1Z7
NAVYARSH TECHNOLOGIES PRIVATE LIMITED,AAJCN2255L,06AAJCN2255L1Z8
SP SERVICES,ADQFS7560J,29ADQFS7560J1Z6
ECOZONE BIOFUELS PRIVATE LIMITED,AAHCE9721A,10AAHCE9721A1Z8
S POWER NEW ENERGY INDIA PRIVATE LIMITED,ABLCS8017N,33ABLCS8017N1ZU
YANTHRA INFINITY PRIVATE LIMITED,AABCY7522P,33AABCY7522P1ZW
SOOKSHMMITRA RETAILER BUYER LLP,AFEFS0842K,27AFEFS0842K1ZT
PULSEWELL PHARMACEUTICAL (OPC) PRIVATE LIMITED,AAOCP2948K,No GSTIN found
INTER GALACTIC MATERIALS TRADER PRIVATE LIMITED,AAHCI3127N,33AAHCI3127N1ZH
PRAGNYA MOBILITY PRIVATE LIMITED,AAOCP2108F,37AAOCP2108F1ZH
SGK ENGINEERS PRIVATE LIMITED,ABHCS1966J,33ABHCS1966J1Z2
SKILLYFT EDTECH LLP,AFDFS5880E,No GSTIN found
ORA ORGANICS PRIVATE LIMITED,AAECO2005J,05AAECO2005J1ZU
SUPERFOODS NIRYAAT PRIVATE LIMITED,,No GSTIN found
SHEAMAL JUST TECH PRIVATE LIMITED,ABLCS4710Q,19ABLCS4710Q1ZM
SHASA MEDITECH PRIVATE LIMITED,AAYCS1901P,09AAYCS1901P1ZJ
ARADHYA HIGHWAY MOTORS LLP,ACEFA3248E,07ACEFA3248E1ZQ
BUILDSPACE CONSULTANT PRIVATE LIMITED,AAMCB0728P,08AAMCB0728P1Z7
P&R MAITREE FOODS PRIVATE LIMITED,AAOCP3122B,27AAOCP3122B1ZQ
OREGENESIS MINERALS AND MINING PRIVATE LIMITED,AAECO2508A,27AAECO2508A1ZZ
SPM STEEL FABRICATION & ERECTION SERVICES PRIVATE LIMITED,AAYCS0462P,06AAYCS0462P1ZJ
TINISOFT TECHNOLOGIES PRIVATE LIMITED,AAJCT7153P,34AAJCT7153P1ZO
VIKRADHA SOLUTIONS LLP,AARFV8972F,33AARFV8972F1ZI
APEXCARE SURGICAL PRIVATE LIMITED,AAZCA6724B,27AAZCA6724B1ZG
MPRHT CARE PRIVATE LIMITED,AARCM2434N,27AARCM2434N1ZW
MANDRA ENTERPRISE PRIVATE LIMITED,AARCM5527C,24AARCM5527C1ZH
MRBDK & ASSOCIATES,ABYFM6938L,09ABYFM6938L1Z2
RAYNISHTA TECHNOLOGIES PRIVATE LIMITED,AANCR1731M,No GSTIN found
7P PROMOTIONS & EDUCATION SERVICES PRIVATE LIMITED,AACCZ0450G,08AACCZ0450G1ZH
TRANSMITTO DEVELOPMENT FOUNDATION,AAJCT8759R,No GSTIN found
STANDARD AGRO ENGINEERING INDIA PRIVATE LIMITED,ABHCS8618R,33ABHCS8618R1ZJ
CRESENDOS PRIVATE LIMITED,AAKCC8324N,33AAKCC8324N1ZB
HUNDAL TECHNOLOGIES PRIVATE LIMITED,,No GSTIN found
GREEN EARTH AUTOMOTIVES PRIVATE LIMITED,AAKCG1496M,No GSTIN found
PRENEEL INDUSTRIES ,ABCFP9486C,24ABCFP9486C1Z3
AHA&A PRIVATE LIMITED,AAYCA0295N,27AAYCA0295N1ZU
CHEMARA PRIVATE LIMITED,AAICC3815E,27AAICC3815E1ZV
VYSTRIT DESIGNS PRIVATE LIMITED,AAJCV8978Q,29AAJCV8978Q1ZS
SCODOTUA INDIA PRIVATE LIMITED,ABMCS4355A,33ABMCS4355A1ZJ
AI SQUARE CONSTRUCTION PRIVATE LIMITED,AAZCA8167A,No GSTIN found
PRAKRUTIK ECOFARMS LLP,ABEFP7457K,24ABEFP7457K1ZT
ONYX RETAILS LLP,AAIFO7402J,No GSTIN found
M/S REDBULL INFRATECH,ABGFR4651M,09ABGFR4651M1ZN
HELEANA HOUSING AND INFRASTRUCTURE PRIVATE LIMITED,AAGCH8738M,33AAGCH8738M1Z2
NIKHIL IT SOLUTIONS PRIVATE LIMITED,AAFCN3057Q,36AAFCN3057Q1ZX
KBS STAY SERVICES LLP,ABAFK9534G,32ABAFK9534G1ZG
JUGGI SCIENTIFIC MINING STARTUP UDYOG,AAUFJ0605L,No GSTIN found
OVERSEAS OMNISCIENTS LLP,AAHFO8935H,29AAHFO8935H1ZP
DISHA AGRO FERTILIZER PRIVATE LIMITED,ABDCS5834R,24ABDCS5834R1ZQ
BEHLINNOV SOLUTIONS PRIVATE LIMITED,AAICB9771G,29AAICB9771G1Z5
HINDIGO FINVEST SERVICES PRIVATE LIMITED,AAHCH0973R,21AAHCH0973R1Z7
NEXTINDIA INITIATIVE PRIVATE LIMITED,AAGCN9495D,10AAGCN9495D1ZF
ESTATUS GENUINE INFRA PRIVATE LIMITED,AAHCE4525A,No GSTIN found
DYNAMIC MATERIALS PRIVATE LIMITED,AAJCD4031A,33AAJCD4031A1ZE
NRB ABODE SOLUTION LLP,AAVFN8087H,08AAVFN8087H1ZD
NIVA FABPACK PRIVATE LIMITED,AAICN1340H,24AAICN1340H1ZS
TEAMNEX TECHNOLOGIES PRIVATE LIMITED,AAJCT9149B,29AAJCT9149B1Z0
EASE COMMERCE TECHNOLOGIES PRIVATE LIMITED,AAHCE6844Q,29AAHCE6844Q1ZQ
BLC FREIGHT PRIVATE LIMITED,AALCB0226F,24AALCB0226F1Z6
LAKKAMMA DEVI TRAVELS (OPC) PRIVATE LIMITED,AAFCL6379P,29AAFCL6379P1ZH
ZIPZAP TOYS PRIVATE LIMITED,AACCZ2418E,03AACCZ2418E1ZR
GUJARAT TESTLAB PRIVATE LIMITED,AAKCG3033E,24AAKCG3033E1Z1
Utpala Biotech (OPC) Private limited ,AADCU3728R,No GSTIN found
TECHNOMARK SOLUTIONS LLP,AASFT1768L,24AASFT1768L1ZH
HOOMAN DIGITAL LLP,AAPFH6241R,No GSTIN found
XDYOTA INNOVATIONS PRIVATE LIMITED,AAACX4808L,27AAACX4808L1Z0
AMPHIGEN POWER SOLUTONS PRIVATE LIMITED,,No GSTIN found
HET GARMENTS PRIVATE LIMITED,AAECH4228E,24AAECH4228E1ZZ
PROTAX PROTECT SERVICES PRIVATE LIMITED,AAMCP9923C,10AAMCP9923C1ZK
BRIJRANI LANDVEST (OPC) PRIVATE LIMITED,AAMCB1221H,No GSTIN found
KRAFTR GLOBAL LYFSTYLE PRIVATE LIMITED,AAKCK5869L,29AAKCK5869L1ZK
GLOBAL CONNECT MUSIC AND FILMS PRIVATE LIMITED,AAKCG8735D,No GSTIN found
ALPHA RAYS PHARMA LLP,ABWFA6755B,07ABWFA6755B1Z6
Axsiom Living Private Limited,AAYCA7525M,21AAYCA7525M1Z5
INNOBIMB INFOTECH PRIVATE LIMITED,AAGCI3281E,23AAGCI3281E1ZV
M A C L A N D PRIVATE LIMITED,AAOCM5654R,24AAOCM5654R1ZL
VEDIKA PURIFIER SERVICES LLP,AAWFV9008P,27AAWFV9008P1Z0
PADMESH INDUSTRIES PRIVATE LIMITED,AAOCP1775C,21AAOCP1775C1ZL
SKYGRAIN INTERNATIONAL PRIVATE LIMITED,ABKCS4983J,06ABKCS4983J1ZP
DoubtConnect,,No GSTIN found
SU SQUARE VENTURES PRIVATE LIMITED,AAZCS4241F,32AAZCS4241F1Z7
AJSR INFRA PRIVATE LIMITED,AANCA0390B,09AANCA0390B1ZW
OCTAHIRE SERVICES PRIVATE LIMITED,AAECO1482H,No GSTIN found
M SQUARE ASEL BUSINESS ASSOCIATES PRIVATE LIMITED,AAOCM6022B,22AAOCM6022B1ZY
LA DENTIST NETWORK CLINICS PRIVATE LIMITED,AADCL4132C,No GSTIN found
ZUAR PHYSIO (OPC) PRIVATE LIMITED,AACCZ3190P,No GSTIN found
LALIMA JEWELS LLP,AAKFL6391B,24AAKFL6391B1ZD
RAJASTHAN AGRO ORGANICS PRIVATE LIMITED,AANCR1759F,08AANCR1759F1Z2
GP ADVISORS PRIVATE LIMITED,AAJCG7203R,06AAJCG7203R1Z5
SHUBHKEY INFOTECH LLP,AEQFS1453P,24AEQFS1453P1ZE
ARHMS PRODUCTION PRIVATE LIMITED,AAYCA9604P,07AAYCA9604P1ZP
PUREWATT RENEWABLES PRIVATE LIMITED,AANCP9938J,37AANCP9938J1ZH
JOYFORD RETAIL VENTURES PRIVATE LIMITED,AAGCJ2469R,27AAGCJ2469R1ZR
PROPLEAF REALTY TECH PRIVATE LIMITED,AAMCP8761E,33AAMCP8761E1Z6
AKQUVA SKKIN SOLUTIONS (OPC) PRIVATE LIMITED,AAYCA1740L,36AAYCA1740L1Z7
EXPINTE TECHNOLOGIES PRIVATE LIMITED,AAHCE2982K,27AAHCE2982K1Z7
DILLO ENTERPRISES LLP,AAVFD7151Q,27AAVFD7151Q1ZH
GINGURTHY MINERALS LLP,AAZFG5501F,36AAZFG5501F1Z8
SK INDIYAN DORI PRIVATE LIMITED,ABLCS8082P,27ABLCS8082P1ZA
FIRST-CHOICE MANAGEMENT SYSTEM PRIVATE LIMITED,AAFCF7221C,No GSTIN found
KRISTALEDGE DIGITAL PRIVATE LIMITED,AAJCK1695F,24AAJCK1695F1ZG
SRK INFODIGIT,AFBFS2698E,09AFBFS2698E1ZP
SANJUKTA AGRO PRODUCTS (OPC) PRIVATE LIMITED,ABMCS2376K,18ABMCS2376K1ZP
BHUVI PATHSHALAA SERVICES PRIVATE LIMITED,AAMCB0827H,06AAMCB0827H1ZS
M/S KIFAISH,AAZFK7733M,03AAZFK7733M1ZK
MONOIDLABS PRIVATE LIMITED,AARCM4225F,29AARCM4225F1Z8
MUKHARVIND ENTERPISE LLP,ABYFM7853J,No GSTIN found
MOBIDOJO,ABFFM4617F,No GSTIN found
LIASON ENGINEERS PRIVATE LIMITED,AAFCL5644K,33AAFCL5644K1ZC
UNOMIRU GLOBAL PRIVATE LIMITED,AADCU4630J,09AADCU4630J1Z6
ROOFTOP URBAN AGRO PARK PRIVATE LIMITED,AANCR2446P,No GSTIN found
GEO-PRO CONSULTANCY & CONSTRUCTIONS LLP,AAYFG1152H,09AAYFG1152H1Z3
HOUZMATIC PRIVATE LIMITED,AAGCH8114B,06AAGCH8114B1Z0
ATAI INFRACON PROJECTS PRIVATE LIMITED,AAQCA2146L,10AAQCA2146L1ZR
AKINNA HEALTH CARE PRIVATE LIMITED,AAZCA2520P,07AAZCA2520P1Z3
SAMAGRAH BUSINESS SOLUTIONS PRIVATE LIMITED,ABLCS6873N,36ABLCS6873N1ZC
HUNGRY KALAKAAR PRIVATE LIMITED,AAGCH1420E,No GSTIN found
THZINNOVATIONS PRIVATE LIMITED,AAKCT5832E,No GSTIN found
DUSONS MEDICARE LLP,AAVFD5875B,24AAVFD5875B1Z7
KALITA ENGINEERING &amp;amp; CONSTRUCTION PRIVATE LIMITED,AAKCK4856B,18AAKCK4856B1ZF
DAX WATER TECH INDUSTRIES PRIVATE LIMITED,AAJCD1756C,27AAJCD1756C1ZT
C P KANASE UNITED PRIVATE LIMITED,AALCC2924R,No GSTIN found
ICS SHIPPING & LOGISTICS PRIVATE LIMITED,AAHCI1722P,09AAHCI1722P1Z7
BUTTERMAN DAIRY PRIVATE LIMITED,AALCB4534A,33AALCB4534A2Z5
ATVARA HOSPITALITY (OPC) PRIVATE LIMITED,AAZCA3950B,No GSTIN found
RAJNIBHUMI ORGANIC PRIVATE LIMITED,AANCR1905R,09AANCR1905R1ZN
TASK MASTERS ENGINEERING AND PROJECT SOLUTIONS PRIVATE LIMITED,AAFCT4076M,33AAFCT4076M1Z0
AGROVEDIC WARRIOR PRIVATE LIMITED,AAYCA7417J,092400007177ESF
RYSA LEARNING PRIVATE LIMITED,AANCR2593R,No GSTIN found
SIERRA - ONE STOP SOLUTIONS PRIVATE LIMITED,ABMCS2578M,No GSTIN found
APPCURVE TECHNOLOGIES LLP,ABYFA7013N,33ABYFA7013N1ZZ
SONAM COLLECTION PRIVATE LIMITED,ABJCS5710Q,09ABJCS5710Q1ZN
HIMALAYAN AGARWOOD LLP,AAQFH4653J,02AAQFH4653J1Z7
DESTINY EDUCATION ZONE AND SOCIAL WELFARE FOUNDATION,AAKCD0315Q,No GSTIN found
IWISH RETAIL,AAGFI1939J,23AAGFI1939J1ZD
NISHUMU FOODS PRIVATE LIMITED,AAICN7721Q,07AAICN7721Q1ZS
GOYAL ENTERPRISES,AARFG2854M,03AARFG2854M1Z0
NAVACHETANA LIVELIHOODS PRIVATE LIMITED,AAICN8493K,29AAICN8493K1ZJ
NESTCOMFY PRIVATE LIMITED,AAICN7606E,27AAICN7606E1ZF
Valuechampions LLP,AAXFV8579L,09AAXFV8579L1ZN
V D PRECIOUS METALS,AAXFV0612J,24AAXFV0612J1ZX
SUZYAN COSMETICS PRIVATE LIMITED,ABMCS2898G,24ABMCS2898G1ZU
MYSORE GODAIRY PRIVATE LIMITED,AARCM3757A,No GSTIN found
INVITEHIVE PRIVATE LIMITED,AAHCI2205F,No GSTIN found
FINOLET PRIVATE LIMITED,AAFCF6581R,07AAFCF6581R1ZT
SAGL INFRAPROJECTS PRIVATE LIMITED,ABMCS2267B,27ABMCS2267B1ZB
SNEHA FABRICATORS (OPC) PRIVATE LIMITED,ABJCS6140C,19ABJCS6140C1ZD
SUDAR DISTRIBUTORS PRIVATE LIMITED,ABKCS2373L,33ABKCS2373L1Z0
SAPTARSHI ADVANCED TECHNOLOGIES PRIVATE LIMITED,ABJCS1602D,No GSTIN found
NATURAGE FARMER AGRI FED PRODUCER COMPANY LIMITED,AAICN2087M,09AAICN2087M1ZV
WAYSFIELD LIFESSTYLE PRIVATE LIMITED,AADCW6848C,07AADCW6848C1Z7
STACKIOT TECHNOLOGIES PRIVATE LIMITED,ABJCS5463Q,06ABJCS5463Q1ZJ
BURBIX INTERNATIONAL PRIVATE LIMITED,AAJCB7986J,07AAJCB7986J1ZY
USHODAYAA INDIA NIDHI LIMITED,AACCU5087C,No GSTIN found
LAKSHMI NARHARI JARI,AAJFL2014L,24AAJFL2014L1ZH
EPIGEN46 TECHNOLOGIES INDIA PRIVATE LIMITED,AAHCE6783C,No GSTIN found
HCG(KCE)PRIVATE LIMITED,AAECH6717J,06AAECH6717J1ZG
DOUBLE 9 BOOKS LLP,AATFD4010G,07AATFD4010G1ZM
FINOTEX ELECTRONIC SOLUTIONS PRIVATE LIMITED,AAFCF7161B,08AAFCF7161B1ZU
ASHU HR SERVICE PRIVATE LIMITED,AAVCA5864A,06AAVCA5864A2ZI
ADVIZIN PRIVATE LIMITED,AAZCA1989J,36AAZCA1989J1ZR
HUB9M Solutions Private Limited,AAHCH1123R,27AAHCH1123R1ZB
FRAMEFLIX STUDIOS PRIVATE LIMITED,AAFCF7434B,06AAFCF7434B1ZY
PRIME FABTECH PRIVATE LIMITED,AALCP8927D,06AALCP8927D1Z6
EMCOG SOLUTIONS (OPC) PRIVATE LIMITED,AAHCE8857D,No GSTIN found
SkillCaptain,,No GSTIN found
IDIOSYS TECH PRIVATE LIMITED,AAECI0863N,19AAECI0863N1Z5
Apurva ComplyAssist Private Limited,,No GSTIN found
RBS HEAT TREATMENT LLP,ABHFR7285A,No GSTIN found
TANISH ECO PRODUCTS PRIVATE LIMITED,AAKCT6776D,24AAKCT6776D2Z1
SIRMAUR DETERGENTS PRIVATE LIMITED,ABLCS2662M,09ABLCS2662M1ZO
NANOSKOOL EDUCATION PRIVATE LIMITED,AAICN8922B,29AAICN8922B1ZC
AMIT FERRO UDHYOG PRIVATE LIMITED,AAYCA1017G,22AAYCA1017G1ZX
GTV SPICES INDIA PRIVATE LIMITED,AAJCG6411H,33AAJCG6411H1ZT
SWISSWELD TECHNOLOGIES PRIVATE LIMITED,ABHCS9819G,27ABHCS9819G1ZU
Greenwood AgriChem LLP,AAZFG1172A,24AAZFG1172A1ZK
VIBHUTA PRIVATE LIMITED,AAJCV6688F,19AAJCV6688F1ZL
GROUND INFRA TECHNOLOGY PRIVATE LIMITED,AAICG7837N,33AAICG7837N1Z1
Rukiyation hospitality llp,ABFFR7282R,08ABFFR7282R1Z7
SHRI CHAIN FORWARDING AND LOGISTICS LLP,ADYFS1447G,20ADYFS1447G1ZX
BIZHELP TECHNOLOGY AND ADVISORY PRIVATE LIMITED,AAMCB1775E,07AAMCB1775E1ZN
PRANSH INDUSTRIES PRIVATE LIMITED,AANCP5645C,09AANCP5645C1Z7
SHREEM LIFESTYLE LLP,AFBFS0466C,24AFBFS0466C1ZF
RY ENTERPRISES LLP,ABIFR0076Q,21ABIFR0076Q1ZW
AGILITY FOOD PRODUCTS LLP,ABUFA8496K,29ABUFA8496K1Z9
SHITALAQUA WATER TECHNOLOGIES PRIVATE LIMITED,ABACS3851M,10ABACS3851M1ZF
SAER TECHNOLOGIES PRIVATE LIMITED,ABJCS2216H,08ABJCS2216H1ZD
THREEDOLOGY PRINTECHX LLP,,No GSTIN found
CREAS Nexus Private Limited,,No GSTIN found
PROFICIENTNOW RECRUITMENT (OPC) PRIVATE LIMITED,AAMCP1624J,36AAMCP1624J1Z9
VIBFAST ORTO PRIVATE LIMITED,AAFCH3778J,No GSTIN found
